top,top_color,bottom,bottom_color,shoes,shoes_color,occasion,temperature,feels_like,weather_type,season_match,score
sweater,white,jeans,gray,loafers,yellow,casual,8,7,sunny,0.817,0.799
dress,brown,none,none,oxfords,pink,sport,22,24,sunny,0.817,0.573
blazer,orange,skirt,pink,oxfords,burgundy,party,12,13,sunny,0.867,0.723
blazer,brown,skirt,navy,loafers,burgundy,business,32,33,sunny,0.783,0.817
sweater,blue,trousers,black,oxfords,purple,sport,18,20,sunny,0.817,0.53
blazer,white,jeans,black,loafers,black,business,32,30,rain,0.683,0.737
blazer,black,shorts,gray,heels,black,formal,22,20,cloudy,0.867,0.741
tank-top,brown,shorts,beige,sandals,black,sport,28,27,cloudy,1.0,0.903
t-shirt,green,jeans,white,oxfords,white,casual,5,-3,snow,0.817,0.666
cardigan,burgundy,leggings,green,sneakers,pink,date,32,36,sunny,0.733,0.594
hoodie,burgundy,jeans,red,loafers,burgundy,date,15,16,sunny,0.817,0.723
tank-top,burgundy,trousers,gray,loafers,orange,sport,20,20,sunny,0.767,0.698
polo,blue,jeans,orange,oxfords,white,casual,2,2,cloudy,0.833,0.804
dress,pink,none,none,boots,navy,party,18,20,sunny,0.817,0.734
hoodie,purple,jeans,burgundy,loafers,white,business,20,22,cloudy,0.817,0.645
shirt,black,trousers,orange,loafers,orange,formal,10,8,sunny,0.867,0.81
polo,green,trousers,navy,heels,purple,casual,22,20,cloudy,0.867,0.765
sweater,black,leggings,white,sneakers,brown,formal,15,17,sunny,0.817,0.7
t-shirt,orange,jeans,yellow,sneakers,yellow,casual,32,33,sunny,0.9,0.771
sweater,orange,shorts,orange,oxfords,white,sport,12,14,sunny,0.817,0.59
blazer,pink,leggings,black,sandals,orange,party,25,21,rain,0.767,0.616
dress,black,none,none,loafers,gray,party,22,27,sunny,0.817,0.843
blazer,blue,skirt,blue,heels,burgundy,casual,18,20,sunny,0.867,0.635
dress,gray,none,none,loafers,red,party,2,4,cloudy,0.7,0.605
sweater,gray,trousers,black,loafers,burgundy,casual,8,3,rain,0.817,0.838
blouse,purple,jeans,navy,heels,purple,business,25,26,cloudy,0.817,0.682
blouse,white,trousers,black,oxfords,blue,business,18,13,rain,0.867,0.934
blazer,gray,jeans,black,boots,navy,date,8,7,sunny,0.867,0.839
tank-top,gray,jeans,black,sandals,gray,sport,28,27,rain,0.9,0.719
blazer,burgundy,trousers,purple,boots,gray,party,5,1,rain,0.867,0.751
t-shirt,burgundy,leggings,purple,boots,black,sport,2,2,cloudy,0.733,0.74
t-shirt,white,shorts,beige,sneakers,navy,sport,25,27,cloudy,1.0,0.951
blazer,red,jeans,yellow,loafers,gray,formal,18,18,cloudy,0.867,0.71
cardigan,navy,jeans,black,loafers,navy,sport,18,16,rain,0.867,0.575
shirt,white,jeans,gray,heels,blue,party,10,12,cloudy,0.867,0.867
dress,pink,none,none,boots,black,party,20,22,sunny,0.817,0.732
shirt,navy,leggings,orange,loafers,white,date,12,13,sunny,0.867,0.78
blazer,navy,jeans,black,boots,yellow,formal,8,8,cloudy,0.867,0.727
cardigan,white,trousers,gray,heels,orange,casual,5,6,cloudy,0.867,0.73
blazer,burgundy,leggings,burgundy,heels,navy,formal,12,7,rain,0.867,0.834
t-shirt,blue,skirt,navy,sneakers,white,casual,25,28,sunny,1.0,0.874
blouse,black,skirt,burgundy,sandals,black,party,20,22,sunny,0.867,0.884
polo,navy,trousers,blue,oxfords,green,formal,5,5,cloudy,0.867,0.741
blouse,orange,leggings,burgundy,heels,blue,date,15,15,sunny,0.867,0.868
tank-top,white,shorts,brown,loafers,burgundy,date,32,34,sunny,0.917,0.746
blazer,blue,skirt,gray,loafers,burgundy,casual,8,6,cloudy,0.867,0.731
blazer,gray,trousers,navy,loafers,green,formal,15,17,cloudy,0.867,0.822
blouse,beige,skirt,navy,heels,purple,business,28,29,sunny,0.917,0.821
blouse,gray,jeans,pink,heels,yellow,date,20,21,sunny,0.867,0.816
blazer,burgundy,skirt,green,boots,yellow,formal,12,11,cloudy,0.867,0.762
hoodie,white,jeans,gray,heels,pink,casual,15,15,sunny,0.817,0.788
blazer,beige,skirt,gray,boots,black,business,22,24,cloudy,0.867,0.796
dress,white,none,none,loafers,gray,formal,10,9,sunny,0.817,0.706
shirt,purple,leggings,gray,oxfords,yellow,party,20,20,cloudy,0.867,0.789
blouse,pink,skirt,beige,sandals,yellow,party,22,27,sunny,0.867,0.799
polo,purple,shorts,yellow,boots,gray,formal,8,7,rain,0.867,0.59
t-shirt,pink,jeans,navy,loafers,black,business,20,18,sunny,0.817,0.741
blouse,gray,skirt,navy,loafers,gray,formal,28,29,cloudy,0.917,0.798
blazer,purple,trousers,navy,sneakers,white,date,8,9,sunny,0.867,0.738
t-shirt,orange,skirt,white,sandals,beige,sport,32,37,sunny,1.0,0.733
blouse,navy,jeans,navy,heels,black,formal,5,0,rain,0.867,0.735
t-shirt,red,trousers,red,loafers,pink,date,5,3,cloudy,0.817,0.581
blazer,white,shorts,navy,heels,beige,formal,8,8,sunny,0.867,0.763
blouse,gray,leggings,gray,boots,red,business,8,9,cloudy,0.867,0.738
sweater,red,sweatpants,gray,boots,black,sport,2,0,cloudy,1.0,0.729
dress,red,none,none,sneakers,navy,casual,28,33,sunny,0.8,0.79
t-shirt,gray,jeans,navy,boots,gray,business,12,13,sunny,0.817,0.687
dress,navy,none,none,sneakers,white,formal,28,31,sunny,0.8,0.815
t-shirt,blue,skirt,black,loafers,gray,casual,20,20,sunny,0.817,0.908
tank-top,blue,shorts,beige,sandals,navy,casual,25,28,sunny,1.0,0.878
dress,purple,none,none,heels,red,party,8,7,sunny,0.817,0.629
dress,navy,none,none,heels,black,formal,20,21,sunny,0.817,0.805
dress,white,none,none,oxfords,white,party,8,7,rain,0.817,0.605
tank-top,white,skirt,navy,sneakers,brown,casual,28,30,sunny,1.0,0.87
blouse,navy,jeans,navy,sneakers,blue,date,5,5,cloudy,0.867,0.735
dress,beige,none,none,oxfords,red,party,18,14,rain,0.817,0.649
hoodie,purple,leggings,white,boots,burgundy,party,2,2,cloudy,1.0,0.669
t-shirt,black,trousers,navy,oxfords,yellow,casual,5,0,snow,0.817,0.594
shirt,navy,shorts,burgundy,sneakers,purple,date,25,30,sunny,0.95,0.705
hoodie,navy,shorts,gray,heels,green,party,20,17,rain,0.817,0.642
cardigan,yellow,jeans,black,heels,gray,party,10,11,sunny,0.867,0.803
blouse,orange,trousers,yellow,heels,pink,party,2,1,cloudy,0.767,0.663
blazer,navy,skirt,beige,heels,gray,business,28,32,sunny,0.783,0.8
shirt,green,trousers,navy,sandals,gray,date,22,26,sunny,0.867,0.824
shirt,yellow,shorts,black,sandals,yellow,formal,28,27,rain,0.95,0.646
cardigan,white,skirt,gray,loafers,beige,formal,25,30,sunny,0.75,0.776
cardigan,white,leggings,green,sneakers,gray,business,28,30,sunny,0.733,0.614
blazer,navy,jeans,orange,boots,white,business,12,12,sunny,0.867,0.773
dress,purple,none,none,sneakers,brown,formal,15,12,rain,0.817,0.634
blazer,gray,skirt,orange,loafers,gray,sport,28,29,sunny,0.783,0.442
shirt,navy,jeans,navy,sneakers,navy,formal,32,30,rain,0.85,0.676
shirt,purple,sweatpants,orange,oxfords,gray,sport,15,15,cloudy,0.867,0.643
blazer,pink,shorts,gray,sneakers,gray,business,15,15,sunny,0.867,0.697
shirt,white,leggings,burgundy,loafers,orange,casual,20,22,cloudy,0.867,0.859
dress,burgundy,none,none,loafers,black,formal,28,31,sunny,0.717,0.782
blouse,gray,trousers,red,boots,navy,business,12,12,sunny,0.867,0.834
blouse,brown,skirt,navy,sneakers,beige,date,28,27,rain,1.0,0.789
dress,pink,none,none,loafers,pink,formal,28,32,sunny,0.717,0.796
blazer,beige,shorts,green,boots,black,formal,22,24,sunny,0.867,0.639
t-shirt,blue,leggings,white,heels,gray,casual,25,28,sunny,0.817,0.813
tank-top,gray,skirt,pink,loafers,green,date,20,18,sunny,0.767,0.753
sweater,purple,trousers,burgundy,boots,purple,date,20,18,sunny,0.817,0.712
shirt,white,trousers,blue,boots,gray,casual,22,27,sunny,0.867,0.749
cardigan,navy,trousers,brown,loafers,navy,business,28,31,sunny,0.55,0.707
blazer,gray,trousers,pink,oxfords,red,party,2,-4,snow,0.933,0.637
polo,green,shorts,red,sandals,gray,sport,25,28,sunny,1.0,0.728
t-shirt,blue,skirt,red,oxfords,blue,sport,32,30,rain,0.867,0.654
blazer,navy,jeans,yellow,loafers,red,date,10,10,sunny,0.867,0.778
tank-top,green,leggings,pink,loafers,green,formal,32,37,sunny,0.817,0.623
tank-top,white,leggings,black,oxfords,black,sport,2,1,cloudy,0.667,0.679
polo,white,jeans,blue,loafers,navy,casual,22,24,cloudy,0.867,0.899
shirt,white,jeans,beige,loafers,navy,sport,18,17,rain,0.867,0.703
blazer,gray,shorts,black,sneakers,navy,formal,22,23,sunny,0.867,0.738
dress,burgundy,none,none,sneakers,purple,party,22,21,rain,0.817,0.715
shirt,white,jeans,black,boots,burgundy,formal,5,-1,snow,0.867,0.791
blazer,red,jeans,black,loafers,purple,formal,10,8,sunny,0.867,0.771
cardigan,green,skirt,pink,oxfords,navy,sport,5,1,rain,0.867,0.429
blouse,green,jeans,navy,sneakers,navy,business,25,23,cloudy,0.9,0.769
blazer,orange,shorts,black,boots,gray,business,10,5,rain,0.867,0.706
cardigan,orange,shorts,orange,sneakers,gray,date,18,19,sunny,0.867,0.712
cardigan,gray,jeans,white,boots,yellow,business,10,10,cloudy,0.867,0.778
blouse,navy,trousers,yellow,oxfords,beige,business,15,13,sunny,0.867,0.91
dress,yellow,none,none,loafers,yellow,date,18,19,cloudy,0.817,0.744
hoodie,blue,jeans,green,sandals,navy,business,20,21,sunny,0.817,0.565
hoodie,orange,jeans,red,sneakers,green,party,22,25,sunny,0.817,0.545
tank-top,beige,skirt,gray,sneakers,blue,sport,28,27,rain,1.0,0.785
tank-top,brown,jeans,navy,sandals,orange,business,32,34,sunny,0.9,0.589
blazer,yellow,trousers,blue,sneakers,gray,sport,5,7,cloudy,0.867,0.627
blazer,black,jeans,brown,sneakers,red,sport,20,19,rain,0.867,0.689
shirt,black,leggings,navy,sandals,black,formal,25,26,sunny,0.85,0.687
sweater,pink,jeans,yellow,sneakers,burgundy,party,20,22,sunny,0.817,0.6
polo,yellow,sweatpants,navy,boots,brown,party,8,8,cloudy,0.867,0.615
cardigan,black,skirt,black,boots,burgundy,party,18,16,rain,0.867,0.739
sweater,black,jeans,burgundy,boots,navy,casual,22,23,sunny,0.817,0.811
blazer,pink,sweatpants,white,boots,yellow,date,22,22,cloudy,0.867,0.629
polo,red,jeans,blue,sandals,red,sport,32,32,cloudy,0.9,0.623
cardigan,orange,sweatpants,white,boots,yellow,formal,8,10,sunny,0.867,0.639
blazer,red,skirt,pink,sandals,brown,business,25,23,cloudy,0.867,0.723
blouse,pink,leggings,burgundy,sandals,navy,date,25,26,cloudy,0.9,0.739
blouse,black,trousers,gray,sneakers,navy,business,22,27,sunny,0.867,0.756
dress,pink,none,none,sandals,burgundy,party,20,19,cloudy,0.817,0.757
shirt,white,trousers,burgundy,loafers,burgundy,formal,18,18,sunny,0.867,0.944
blazer,orange,leggings,black,boots,red,party,20,16,rain,0.867,0.721
t-shirt,black,trousers,white,sneakers,gray,sport,32,36,sunny,0.8,0.849
blazer,black,skirt,beige,loafers,green,business,12,13,sunny,0.867,0.782
blazer,pink,leggings,beige,boots,burgundy,date,8,10,sunny,0.867,0.722
blouse,pink,sweatpants,beige,loafers,navy,business,20,21,sunny,0.867,0.784
blazer,red,leggings,white,sneakers,pink,party,20,22,cloudy,0.867,0.664
hoodie,pink,skirt,gray,sandals,yellow,casual,28,29,cloudy,0.733,0.786
cardigan,black,trousers,red,loafers,pink,formal,5,4,cloudy,0.867,0.753
sweater,white,jeans,pink,loafers,black,date,10,12,sunny,0.817,0.828
tank-top,pink,jeans,pink,boots,beige,party,18,17,sunny,0.767,0.655
tank-top,blue,jeans,white,sneakers,black,date,22,24,cloudy,0.767,0.792
shirt,green,skirt,black,sneakers,pink,date,15,16,sunny,0.867,0.73
blouse,navy,skirt,green,sandals,orange,sport,28,33,sunny,1.0,0.587
blouse,orange,shorts,navy,sneakers,green,casual,25,28,sunny,1.0,0.854
cardigan,brown,jeans,navy,sneakers,red,sport,10,12,sunny,0.867,0.677
polo,pink,sweatpants,gray,loafers,beige,formal,8,7,sunny,0.867,0.609
blouse,green,jeans,red,oxfords,black,formal,5,1,rain,0.867,0.665
shirt,white,sweatpants,white,sandals,gray,formal,15,15,sunny,0.867,0.684
cardigan,orange,leggings,green,loafers,red,party,20,18,rain,0.867,0.613
hoodie,gray,leggings,white,loafers,gray,casual,28,29,cloudy,0.55,0.794
cardigan,blue,trousers,pink,heels,navy,business,10,9,cloudy,0.867,0.84
tank-top,black,skirt,white,sneakers,black,formal,25,26,sunny,1.0,0.721
sweater,orange,skirt,red,sneakers,navy,date,2,1,cloudy,0.833,0.587
cardigan,blue,jeans,navy,loafers,navy,business,8,10,sunny,0.867,0.761
tank-top,black,shorts,green,oxfords,orange,sport,25,27,cloudy,0.867,0.729
shirt,burgundy,jeans,pink,oxfords,orange,date,8,10,sunny,0.867,0.764
shirt,burgundy,shorts,white,loafers,black,formal,25,27,sunny,0.867,0.788
shirt,blue,trousers,green,oxfords,burgundy,date,10,10,sunny,0.867,0.817
polo,brown,jeans,black,loafers,white,sport,15,16,sunny,0.867,0.636
polo,purple,leggings,red,sneakers,burgundy,party,20,22,sunny,0.867,0.634
polo,gray,skirt,brown,sneakers,yellow,formal,25,22,rain,1.0,0.725
t-shirt,burgundy,leggings,blue,sneakers,red,sport,18,19,sunny,0.817,0.825
hoodie,navy,skirt,white,sandals,navy,business,22,20,rain,0.817,0.631
shirt,navy,jeans,navy,boots,navy,business,22,24,sunny,0.867,0.82
dress,black,none,none,sneakers,black,business,32,34,sunny,0.8,0.753
blazer,pink,jeans,gray,loafers,black,sport,10,11,sunny,0.867,0.607
polo,red,trousers,blue,oxfords,gray,sport,5,-1,snow,0.867,0.52
shirt,orange,skirt,brown,sandals,navy,formal,25,21,rain,0.95,0.692
shirt,green,jeans,navy,loafers,black,party,32,34,sunny,0.767,0.699
hoodie,beige,trousers,purple,sneakers,navy,casual,10,9,sunny,0.817,0.808
blazer,burgundy,sweatpants,green,loafers,brown,party,8,7,rain,0.867,0.709
hoodie,red,shorts,navy,heels,blue,casual,18,15,rain,0.817,0.706
blazer,black,shorts,beige,sandals,green,party,32,28,rain,0.867,0.637
shirt,blue,skirt,gray,sneakers,blue,casual,28,26,rain,0.95,0.797
tank-top,gray,skirt,blue,heels,black,sport,22,27,sunny,0.767,0.737
t-shirt,navy,skirt,blue,heels,brown,casual,32,29,rain,0.917,0.719
blouse,pink,trousers,burgundy,heels,blue,date,20,19,rain,0.867,0.798
shirt,navy,shorts,red,heels,blue,date,8,10,sunny,0.867,0.735
shirt,red,skirt,navy,sneakers,beige,business,28,32,sunny,0.95,0.826
blouse,black,trousers,white,loafers,purple,party,5,3,cloudy,0.867,0.707
cardigan,navy,shorts,yellow,heels,black,casual,20,22,sunny,0.867,0.744
blazer,navy,skirt,black,loafers,white,business,22,17,rain,0.867,0.82
blazer,orange,leggings,purple,oxfords,red,casual,5,7,cloudy,0.867,0.715
t-shirt,black,skirt,beige,heels,beige,business,25,27,sunny,0.917,0.769
hoodie,black,trousers,yellow,boots,gray,sport,10,11,cloudy,0.817,0.598
tank-top,brown,skirt,black,heels,green,date,32,29,rain,0.917,0.795
polo,brown,jeans,black,sneakers,black,casual,18,19,cloudy,0.867,0.894
cardigan,blue,jeans,orange,oxfords,black,formal,8,9,sunny,0.867,0.764
shirt,burgundy,jeans,navy,boots,navy,casual,5,4,rain,0.867,0.832
t-shirt,white,skirt,burgundy,sandals,navy,casual,25,30,sunny,1.0,0.972
t-shirt,navy,trousers,blue,oxfords,orange,business,20,21,sunny,0.817,0.828
shirt,orange,jeans,gray,oxfords,blue,business,5,3,cloudy,0.867,0.79
blouse,white,trousers,burgundy,heels,black,party,10,9,sunny,0.867,0.817
blouse,navy,leggings,yellow,loafers,green,business,12,13,sunny,0.867,0.767
t-shirt,black,leggings,black,boots,navy,casual,5,5,cloudy,0.817,0.725
dress,black,none,none,sandals,gray,formal,15,10,rain,0.817,0.717
blouse,navy,shorts,navy,loafers,navy,casual,25,29,sunny,0.917,0.832
blouse,burgundy,leggings,navy,oxfords,black,casual,18,19,sunny,0.867,0.815
dress,black,none,none,sandals,pink,party,32,35,sunny,0.8,0.795
shirt,navy,skirt,green,heels,orange,date,18,17,cloudy,0.867,0.81
hoodie,burgundy,jeans,beige,oxfords,brown,formal,10,8,sunny,0.817,0.741
blouse,burgundy,shorts,brown,heels,yellow,party,20,21,sunny,0.867,0.784
polo,navy,jeans,yellow,boots,blue,formal,12,10,cloudy,0.867,0.682
shirt,gray,leggings,orange,heels,white,formal,20,19,rain,0.867,0.815
dress,black,none,none,loafers,yellow,formal,32,36,sunny,0.717,0.738
shirt,yellow,leggings,burgundy,loafers,blue,date,2,0,cloudy,0.833,0.631
dress,blue,none,none,oxfords,green,casual,10,10,sunny,0.817,0.654
blouse,yellow,skirt,gray,sneakers,navy,casual,25,27,sunny,1.0,0.768
blazer,burgundy,jeans,navy,sneakers,red,date,22,24,sunny,0.867,0.785
blouse,orange,leggings,blue,loafers,navy,business,20,21,sunny,0.867,0.846
blouse,black,shorts,brown,sneakers,black,date,22,22,cloudy,0.867,0.741
blazer,gray,skirt,black,loafers,navy,sport,22,19,rain,0.867,0.571
sweater,pink,leggings,red,heels,navy,casual,22,23,sunny,0.817,0.725
shirt,yellow,trousers,pink,loafers,navy,date,20,19,sunny,0.867,0.815
t-shirt,brown,skirt,purple,sandals,gray,sport,32,37,sunny,1.0,0.684
dress,burgundy,none,none,heels,orange,date,28,26,cloudy,0.717,0.81
blouse,yellow,leggings,burgundy,loafers,beige,date,22,20,rain,0.867,0.782
sweater,burgundy,trousers,navy,sneakers,navy,formal,10,9,rain,0.817,0.74
t-shirt,green,trousers,beige,heels,burgundy,sport,25,30,sunny,0.717,0.658
shirt,pink,skirt,burgundy,oxfords,brown,date,2,1,cloudy,0.733,0.652
blouse,gray,jeans,green,oxfords,brown,party,20,22,sunny,0.867,0.811
t-shirt,beige,trousers,burgundy,heels,black,casual,18,16,rain,0.817,0.852
dress,beige,none,none,sandals,black,date,20,18,rain,0.817,0.744
polo,white,skirt,blue,oxfords,pink,date,15,17,sunny,0.867,0.78
shirt,red,jeans,burgundy,loafers,burgundy,date,22,24,sunny,0.867,0.771
blouse,purple,jeans,black,boots,black,party,10,12,cloudy,0.867,0.719
sweater,pink,jeans,beige,sneakers,white,business,10,8,sunny,0.817,0.682
shirt,navy,skirt,pink,sneakers,yellow,date,15,14,sunny,0.867,0.743
dress,white,none,none,oxfords,gray,casual,18,18,sunny,0.817,0.748
hoodie,black,shorts,pink,sandals,purple,business,15,14,sunny,0.817,0.437
t-shirt,red,jeans,black,sandals,white,party,25,30,sunny,0.9,0.778
polo,blue,trousers,brown,sneakers,black,sport,15,15,cloudy,0.867,0.746
shirt,blue,sweatpants,white,loafers,burgundy,formal,5,-3,snow,0.867,0.684
shirt,black,shorts,white,heels,black,sport,28,32,sunny,0.867,0.743
cardigan,white,trousers,burgundy,sneakers,burgundy,date,2,1,cloudy,0.933,0.693
dress,green,none,none,heels,blue,sport,22,24,cloudy,0.817,0.6
t-shirt,blue,trousers,pink,heels,yellow,sport,22,26,sunny,0.817,0.57
t-shirt,blue,skirt,white,boots,black,formal,20,18,cloudy,0.817,0.739
shirt,black,leggings,black,loafers,beige,formal,18,18,sunny,0.867,0.802
hoodie,beige,trousers,navy,loafers,gray,sport,5,2,rain,0.817,0.695
blouse,purple,jeans,black,sandals,purple,party,32,27,rain,0.9,0.722
sweater,black,trousers,beige,boots,pink,party,2,4,cloudy,1.0,0.724
dress,orange,none,none,boots,navy,date,12,12,sunny,0.817,0.719
cardigan,red,shorts,red,oxfords,navy,date,25,21,rain,0.7,0.748
shirt,blue,skirt,brown,sandals,red,date,20,20,sunny,0.867,0.765
sweater,orange,trousers,burgundy,sneakers,white,formal,10,12,cloudy,0.817,0.699
blouse,black,trousers,gray,boots,orange,casual,20,19,rain,0.867,0.779
dress,red,none,none,sneakers,burgundy,date,20,19,sunny,0.817,0.748
polo,purple,jeans,green,oxfords,blue,casual,18,16,sunny,0.867,0.789
t-shirt,gray,trousers,blue,oxfords,orange,sport,25,29,sunny,0.667,0.66
hoodie,navy,skirt,black,loafers,blue,date,18,19,cloudy,0.817,0.723
cardigan,gray,leggings,yellow,oxfords,brown,casual,18,18,cloudy,0.867,0.68
sweater,pink,jeans,gray,sneakers,pink,formal,20,19,cloudy,0.817,0.602
dress,burgundy,none,none,oxfords,pink,date,18,17,rain,0.817,0.745
hoodie,navy,shorts,navy,sneakers,pink,sport,22,20,rain,0.817,0.76
t-shirt,green,trousers,burgundy,loafers,black,party,32,37,sunny,0.717,0.663
dress,burgundy,none,none,loafers,blue,date,25,28,sunny,0.717,0.785
dress,black,none,none,loafers,purple,party,25,26,sunny,0.717,0.78
shirt,black,trousers,navy,boots,pink,business,5,-3,snow,0.867,0.769
sweater,green,trousers,black,oxfords,black,sport,12,7,rain,0.817,0.531
blouse,green,jeans,purple,loafers,red,date,15,17,sunny,0.867,0.786
t-shirt,beige,skirt,navy,oxfords,red,sport,18,16,rain,0.817,0.627
dress,pink,none,none,loafers,white,party,8,8,sunny,0.817,0.601
t-shirt,pink,shorts,blue,heels,blue,casual,22,24,cloudy,0.817,0.779
blouse,navy,jeans,black,sneakers,beige,formal,8,6,sunny,0.867,0.656
t-shirt,black,jeans,gray,oxfords,brown,sport,12,12,sunny,0.817,0.66
sweater,yellow,trousers,navy,sneakers,pink,sport,12,10,cloudy,0.817,0.645
tank-top,green,trousers,white,sandals,blue,sport,28,28,cloudy,0.8,0.725
dress,red,none,none,sneakers,gray,party,22,20,cloudy,0.817,0.721
blazer,burgundy,jeans,green,sandals,gray,date,25,28,sunny,0.767,0.719
shirt,red,sweatpants,red,loafers,black,date,5,3,rain,0.867,0.674
dress,green,none,none,sneakers,green,party,5,-2,snow,0.817,0.514
blouse,black,trousers,beige,heels,white,date,10,10,sunny,0.867,0.886
dress,gray,none,none,loafers,red,date,22,23,cloudy,0.817,0.758
blouse,white,leggings,black,loafers,black,formal,22,17,rain,0.867,0.793
t-shirt,black,skirt,black,sneakers,blue,sport,28,32,sunny,1.0,0.815
polo,black,skirt,pink,sandals,orange,party,18,19,sunny,0.867,0.789
dress,purple,none,none,oxfords,orange,party,12,13,cloudy,0.817,0.708
sweater,black,skirt,gray,oxfords,black,sport,8,3,rain,0.817,0.559
blouse,navy,trousers,beige,sneakers,orange,formal,18,20,cloudy,0.867,0.789
t-shirt,pink,trousers,blue,loafers,blue,sport,28,30,cloudy,0.717,0.62
shirt,black,trousers,white,oxfords,orange,casual,10,9,sunny,0.867,0.722
dress,burgundy,none,none,oxfords,orange,formal,32,32,cloudy,0.667,0.783
blazer,brown,jeans,beige,loafers,navy,business,10,9,sunny,0.867,0.814
polo,navy,skirt,gray,loafers,purple,casual,25,23,cloudy,0.917,0.823
dress,red,none,none,sandals,black,party,28,29,cloudy,0.8,0.805
polo,burgundy,jeans,navy,oxfords,gray,formal,22,27,sunny,0.867,0.76
t-shirt,black,trousers,white,loafers,navy,casual,12,8,rain,0.817,0.768
shirt,orange,jeans,pink,heels,yellow,business,18,18,sunny,0.867,0.785
hoodie,beige,leggings,orange,boots,navy,casual,12,10,cloudy,0.817,0.817
dress,orange,none,none,oxfords,pink,date,25,26,cloudy,0.667,0.744
blouse,red,skirt,purple,boots,blue,party,22,26,sunny,0.867,0.701
shirt,purple,jeans,gray,loafers,blue,business,18,18,sunny,0.867,0.813
dress,pink,none,none,sandals,black,party,28,25,rain,0.8,0.703
dress,gray,none,none,sneakers,black,business,18,20,sunny,0.817,0.757
hoodie,gray,trousers,pink,sneakers,navy,casual,25,24,cloudy,0.533,0.759
